sample_id,grid_id,city,city_code,timestamp_hour,airspace_class,population_density_index,flight_density_index,sensor_coverage_score,communication_quality_score,wind_speed_mps,rainfall_mm_h,visibility_km,historical_alert_count_24h,computed_risk_score,risk_event_label,data_nature,source_basis
MF0001487,500000_G0114,重庆,500000,2026-06-02 13:00:00,禁飞区,1800.02,3.06,0.721,0.761,0.29,2.21,12.02,3,100.0,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001488,460100_G0453,海口,460100,2026-06-07 05:00:00,禁飞区,3829.08,20.9,0.599,0.635,5.34,0.03,9.28,5,83.79,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001489,440400_G0213,珠海,440400,2026-06-02 07:00:00,适飞空域,1979.7,0.0,0.73,0.848,4.44,0.49,9.69,0,19.67,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001490,110000_G0269,北京,110000,2026-06-03 12:00:00,管制空域,508.94,39.62,0.866,0.751,5.37,0.24,14.77,3,45.13,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001491,420100_G0149,武汉,420100,2026-06-04 23:00:00,适飞空域,2130.66,28.28,0.949,0.722,1.96,0.19,4.47,2,29.61,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001492,500000_G0454,重庆,500000,2026-06-03 01:00:00,文旅体验区,2435.85,0.61,0.889,0.653,4.93,0.46,8.86,0,33.35,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001493,420100_G0425,武汉,420100,2026-06-04 05:00:00,敏感目标保护区,712.81,12.9,0.93,0.885,5.65,0.52,9.96,2,81.47,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001494,510100_G0262,成都,510100,2026-06-07 13:00:00,低空物流走廊,3642.54,28.43,0.712,0.844,9.85,0.65,6.07,2,21.57,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001495,320500_G0027,苏州,320500,2026-06-06 15:00:00,禁飞区,3268.77,7.68,0.862,0.799,7.61,1.37,11.01,4,93.34,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001496,460100_G0333,海口,460100,2026-06-05 00:00:00,文旅体验区,1224.1,6.31,0.829,0.803,2.49,1.6,7.01,1,44.54,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001497,330100_G0460,杭州,330100,2026-06-01 15:00:00,敏感目标保护区,1534.82,14.33,0.997,0.723,2.29,0.22,7.14,2,66.26,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001498,370200_G0354,青岛,370200,2026-06-06 10:00:00,管制空域,1754.58,21.04,0.647,0.851,5.33,0.46,5.28,2,61.59,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001499,440100_G0333,广州,440100,2026-06-02 08:00:00,适飞空域,1132.11,21.27,0.486,0.635,6.92,0.33,2.07,0,14.74,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001500,110000_G0232,北京,110000,2026-06-01 04:00:00,适飞空域,706.97,9.39,0.818,0.754,4.75,0.23,11.6,0,14.44,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001501,110000_G0005,北京,110000,2026-06-05 10:00:00,适飞空域,3332.38,26.16,0.831,0.759,3.89,0.07,5.85,0,20.52,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001502,441900_G0457,东莞,441900,2026-06-02 06:00:00,适飞空域,3133.05,0.0,0.766,0.95,3.78,1.01,6.8,0,14.5,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001503,610100_G0238,西安,610100,2026-06-03 06:00:00,适飞空域,1130.72,7.01,0.662,0.955,5.41,1.56,4.56,1,45.91,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001504,440100_G0499,广州,440100,2026-06-01 13:00:00,机场净空保护区,3982.49,18.48,0.892,0.729,4.3,0.54,11.35,2,77.76,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001505,370200_G0173,青岛,370200,2026-06-07 03:00:00,适飞空域,575.67,17.19,0.675,0.821,5.1,0.49,6.23,1,25.51,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001506,460100_G0113,海口,460100,2026-06-06 21:00:00,敏感目标保护区,2490.35,21.3,0.961,0.815,2.28,0.14,5.43,7,75.48,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001507,370200_G0194,青岛,370200,2026-06-06 09:00:00,管制空域,2346.89,1.36,0.85,0.757,3.82,0.31,8.26,1,68.95,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001508,440300_G0037,深圳,440300,2026-06-05 20:00:00,适飞空域,2604.58,14.9,0.961,0.602,2.89,0.14,1.15,0,5.24,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001509,610100_G0132,西安,610100,2026-06-01 12:00:00,机场净空保护区,754.6,5.25,0.712,0.377,7.55,0.2,9.64,3,60.24,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001510,500000_G0170,重庆,500000,2026-06-03 05:00:00,适飞空域,1380.82,5.31,0.795,0.926,3.29,0.03,10.64,0,6.88,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001511,350200_G0039,厦门,350200,2026-06-02 12:00:00,文旅体验区,3398.86,12.41,0.558,0.711,3.26,0.02,5.55,1,33.28,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001512,370200_G0425,青岛,370200,2026-06-01 12:00:00,管制空域,2104.47,10.56,0.901,0.797,2.15,1.2,7.96,0,50.4,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001513,510100_G0266,成都,510100,2026-06-01 11:00:00,适飞空域,1158.83,15.32,0.732,0.884,1.8,0.49,6.49,0,13.91,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001514,440100_G0304,广州,440100,2026-06-01 11:00:00,文旅体验区,1644.8,18.8,0.704,0.918,2.92,0.45,5.91,2,20.89,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001515,510100_G0337,成都,510100,2026-06-07 22:00:00,适飞空域,2434.05,29.7,0.856,0.56,4.64,0.29,7.33,0,10.26,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001516,320600_G0266,南通,320600,2026-06-01 13:00:00,管制空域,2803.43,7.13,0.761,0.884,2.7,0.21,10.98,0,57.0,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001517,610100_G0158,西安,610100,2026-06-02 16:00:00,适飞空域,679.2,19.89,0.752,0.84,3.3,0.21,7.7,1,2.76,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001518,460100_G0472,海口,460100,2026-06-07 12:00:00,低空物流走廊,4518.22,7.77,0.56,0.891,1.88,0.65,8.68,1,60.67,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001519,440300_G0250,深圳,440300,2026-06-01 03:00:00,敏感目标保护区,2468.29,16.01,0.813,0.922,5.08,0.3,1.51,4,86.13,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001520,340100_G0067,合肥,340100,2026-06-02 03:00:00,适飞空域,1106.6,9.36,0.922,0.592,5.26,0.08,5.72,0,8.26,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001521,330100_G0032,杭州,330100,2026-06-03 08:00:00,管制空域,3806.65,19.95,0.623,0.666,6.98,0.94,11.04,3,52.41,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001522,430100_G0056,长沙,430100,2026-06-02 07:00:00,适飞空域,1131.52,31.46,0.863,0.688,6.01,1.46,9.08,0,2.43,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001523,350200_G0288,厦门,350200,2026-06-01 08:00:00,适飞空域,1075.69,10.11,0.826,0.624,5.57,1.17,7.26,2,36.44,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001524,510100_G0088,成都,510100,2026-06-01 11:00:00,管制空域,2283.65,46.54,0.53,0.712,4.56,0.09,12.37,1,70.01,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001525,610100_G0242,西安,610100,2026-06-06 10:00:00,机场净空保护区,6048.49,12.04,0.566,0.725,3.32,0.01,4.06,2,73.06,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001526,440100_G0007,广州,440100,2026-06-01 03:00:00,禁飞区,1509.96,33.6,0.794,0.681,5.92,0.12,9.4,1,93.6,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001527,441900_G0034,东莞,441900,2026-06-04 14:00:00,管制空域,2055.14,22.13,0.866,0.874,5.6,0.29,8.77,2,36.66,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001528,440400_G0336,珠海,440400,2026-06-05 12:00:00,敏感目标保护区,823.88,13.66,0.925,0.804,8.27,1.78,11.96,2,71.87,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001529,370200_G0366,青岛,370200,2026-06-04 08:00:00,机场净空保护区,2226.1,0.0,0.601,0.471,1.37,0.63,5.22,1,83.68,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001530,440100_G0496,广州,440100,2026-06-03 09:00:00,禁飞区,691.04,22.9,0.561,0.579,3.66,1.92,3.37,1,94.46,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001531,500000_G0201,重庆,500000,2026-06-05 21:00:00,适飞空域,616.62,1.49,0.31,0.786,5.43,0.05,7.6,2,28.52,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001532,441900_G0180,东莞,441900,2026-06-04 13:00:00,禁飞区,1234.86,15.48,0.817,0.512,7.24,0.15,10.69,5,100.0,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001533,440300_G0124,深圳,440300,2026-06-07 05:00:00,敏感目标保护区,1682.71,38.45,0.807,0.926,3.22,1.07,13.74,1,74.23,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001534,320500_G0099,苏州,320500,2026-06-07 21:00:00,管制空域,1604.11,4.96,0.914,0.736,4.38,0.88,4.78,1,31.24,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001535,460100_G0159,海口,460100,2026-06-07 20:00:00,适飞空域,638.04,30.84,0.728,0.889,2.73,0.05,8.49,1,19.07,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001536,420100_G0385,武汉,420100,2026-06-05 14:00:00,机场净空保护区,1696.79,39.06,0.925,0.723,1.39,0.29,8.23,2,58.14,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001537,510100_G0356,成都,510100,2026-06-03 15:00:00,适飞空域,4267.78,1.76,0.695,0.845,3.49,0.47,7.49,0,21.72,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001538,320600_G0199,南通,320600,2026-06-02 16:00:00,禁飞区,749.7,6.9,0.727,0.874,0.0,0.51,4.63,3,93.76,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001539,350200_G0429,厦门,350200,2026-06-06 08:00:00,低空物流走廊,1571.16,0.0,0.57,0.499,3.65,0.6,7.74,0,36.68,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001540,310000_G0315,上海,310000,2026-06-05 22:00:00,机场净空保护区,4205.07,34.6,0.551,0.731,3.97,0.57,5.74,7,88.37,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001541,420100_G0104,武汉,420100,2026-06-07 03:00:00,敏感目标保护区,471.13,12.23,0.769,0.856,3.99,1.71,6.9,3,68.14,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001542,430100_G0004,长沙,430100,2026-06-06 02:00:00,机场净空保护区,539.95,28.14,0.887,0.864,2.47,0.68,4.28,5,79.41,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001543,410100_G0134,郑州,410100,2026-06-03 08:00:00,适飞空域,2302.51,2.87,0.76,0.666,4.06,0.27,11.23,1,32.8,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001544,110000_G0441,北京,110000,2026-06-01 11:00:00,适飞空域,1631.77,0.0,0.613,0.618,4.49,0.09,8.67,1,16.56,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001545,440400_G0086,珠海,440400,2026-06-07 23:00:00,适飞空域,998.58,11.88,0.522,0.712,5.17,0.43,9.22,2,39.33,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001546,610100_G0007,西安,610100,2026-06-05 23:00:00,适飞空域,1736.82,1.24,0.611,0.865,0.3,0.08,4.47,1,22.93,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001547,430100_G0314,长沙,430100,2026-06-06 14:00:00,管制空域,1851.42,8.26,0.668,0.418,3.43,0.39,10.93,2,42.04,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001548,410100_G0127,郑州,410100,2026-06-02 04:00:00,适飞空域,3071.88,15.78,0.778,0.812,5.06,0.05,10.39,2,19.55,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001549,370200_G0025,青岛,370200,2026-06-06 17:00:00,敏感目标保护区,2299.13,10.93,0.531,0.718,3.1,0.61,4.65,5,69.82,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001550,440100_G0215,广州,440100,2026-06-02 09:00:00,适飞空域,1443.13,12.64,0.747,0.901,4.05,0.54,5.95,2,14.48,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001551,370200_G0190,青岛,370200,2026-06-04 18:00:00,管制空域,1240.8,47.63,0.856,0.777,5.32,0.22,11.22,0,59.17,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001552,350200_G0297,厦门,350200,2026-06-06 08:00:00,适飞空域,1273.6,16.87,0.656,0.959,1.71,0.33,3.59,0,27.26,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001553,510100_G0082,成都,510100,2026-06-01 10:00:00,适飞空域,2982.31,26.03,0.615,0.925,6.71,0.52,5.94,1,19.56,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001554,340100_G0363,合肥,340100,2026-06-03 07:00:00,管制空域,1402.91,0.0,0.594,0.766,0.28,0.02,10.36,3,73.08,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001555,370200_G0405,青岛,370200,2026-06-02 16:00:00,敏感目标保护区,334.86,25.04,0.863,0.865,4.0,0.39,7.24,4,88.62,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001556,110000_G0273,北京,110000,2026-06-03 03:00:00,管制空域,760.18,15.45,0.877,0.922,2.88,0.26,5.89,1,49.17,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001557,440100_G0414,广州,440100,2026-06-03 22:00:00,适飞空域,4042.49,7.64,0.671,0.943,1.85,0.35,6.01,0,30.82,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001558,320100_G0200,南京,320100,2026-06-02 09:00:00,适飞空域,1639.84,6.19,0.564,0.625,4.86,0.11,8.85,0,15.48,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001559,460100_G0496,海口,460100,2026-06-07 18:00:00,适飞空域,311.94,30.64,0.584,0.907,5.56,0.71,8.23,2,30.5,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001560,420100_G0291,武汉,420100,2026-06-07 16:00:00,适飞空域,641.05,7.4,0.708,0.811,4.05,0.6,5.02,0,16.53,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001561,370200_G0279,青岛,370200,2026-06-01 20:00:00,适飞空域,3118.07,8.43,0.609,0.723,5.12,0.28,10.84,0,17.27,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001562,440100_G0209,广州,440100,2026-06-03 21:00:00,适飞空域,3997.35,35.25,0.743,0.688,4.85,0.47,8.47,0,24.99,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001563,430100_G0258,长沙,430100,2026-06-05 12:00:00,禁飞区,2016.96,23.84,0.593,0.699,5.54,0.16,6.63,2,81.59,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001564,320100_G0103,南京,320100,2026-06-04 21:00:00,适飞空域,1454.48,5.46,0.624,0.757,5.34,0.34,5.58,1,25.73,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001565,510100_G0291,成都,510100,2026-06-04 09:00:00,敏感目标保护区,3510.09,8.04,0.897,0.983,6.85,0.17,2.88,4,80.83,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001566,440100_G0037,广州,440100,2026-06-02 08:00:00,适飞空域,1762.13,3.23,0.75,0.668,1.83,1.14,11.16,0,10.61,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001567,500000_G0046,重庆,500000,2026-06-03 23:00:00,机场净空保护区,3590.02,41.21,0.804,0.682,3.26,2.01,4.72,2,67.24,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001568,610100_G0246,西安,610100,2026-06-05 21:00:00,适飞空域,1889.33,23.56,0.713,0.962,4.81,0.42,4.54,0,16.73,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001569,510100_G0171,成都,510100,2026-06-02 22:00:00,管制空域,2160.38,15.6,0.616,0.814,9.53,0.51,6.39,3,44.39,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001570,370200_G0450,青岛,370200,2026-06-06 08:00:00,适飞空域,1001.71,36.31,0.734,0.717,3.44,0.35,5.82,0,8.2,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001571,510100_G0049,成都,510100,2026-06-03 09:00:00,禁飞区,4420.08,13.45,0.793,0.813,4.16,2.08,9.27,5,98.8,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001572,320500_G0037,苏州,320500,2026-06-04 01:00:00,适飞空域,424.99,1.94,0.728,0.812,5.94,0.01,9.07,2,14.49,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001573,330100_G0160,杭州,330100,2026-06-02 08:00:00,管制空域,514.92,0.0,0.803,0.576,0.0,0.93,4.61,2,50.08,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001574,441900_G0335,东莞,441900,2026-06-06 21:00:00,管制空域,1907.36,8.97,0.935,0.461,6.89,0.58,11.53,0,43.16,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001575,610100_G0135,西安,610100,2026-06-02 14:00:00,禁飞区,2098.65,35.5,0.667,0.892,3.55,1.11,6.22,2,99.33,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001576,440300_G0474,深圳,440300,2026-06-02 00:00:00,适飞空域,3596.52,15.77,0.919,0.9,5.83,0.09,7.83,0,8.93,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001577,370200_G0242,青岛,370200,2026-06-01 12:00:00,适飞空域,1903.52,0.49,0.886,0.886,7.12,0.31,10.17,0,12.13,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001578,340100_G0305,合肥,340100,2026-06-05 12:00:00,适飞空域,1364.64,13.39,0.82,0.966,5.21,1.9,7.53,0,4.64,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001579,610100_G0337,西安,610100,2026-06-02 22:00:00,管制空域,2306.43,6.76,0.7,0.817,1.54,1.94,10.82,3,39.53,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001580,410100_G0497,郑州,410100,2026-06-03 04:00:00,适飞空域,1540.0,23.69,0.801,0.371,2.08,0.25,11.28,1,38.66,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001581,441900_G0481,东莞,441900,2026-06-05 14:00:00,管制空域,860.09,13.33,0.578,0.737,6.26,0.29,3.19,2,46.42,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001582,440300_G0441,深圳,440300,2026-06-06 21:00:00,适飞空域,5147.13,18.16,0.88,0.496,4.37,0.17,6.86,0,22.57,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001583,440100_G0272,广州,440100,2026-06-06 00:00:00,机场净空保护区,783.77,3.87,0.711,0.781,4.07,0.02,10.77,2,62.64,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001584,460100_G0427,海口,460100,2026-06-04 01:00:00,文旅体验区,170.06,2.98,0.898,0.962,2.93,1.04,13.03,1,39.22,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001585,310000_G0459,上海,310000,2026-06-05 19:00:00,适飞空域,1524.64,21.81,0.849,0.883,6.26,0.19,6.42,0,2.87,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001586,350200_G0070,厦门,350200,2026-06-03 12:00:00,适飞空域,632.11,18.62,0.84,0.65,1.69,0.84,7.44,4,22.44,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001587,440100_G0129,广州,440100,2026-06-04 17:00:00,禁飞区,1624.67,13.38,0.486,0.608,2.57,0.66,4.16,4,93.97,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001588,440400_G0020,珠海,440400,2026-06-03 05:00:00,机场净空保护区,156.78,21.89,0.788,0.78,6.07,0.14,8.33,6,60.9,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001589,410100_G0405,郑州,410100,2026-06-02 20:00:00,适飞空域,2054.13,2.61,0.81,0.784,6.54,1.22,8.6,1,25.87,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001590,420100_G0171,武汉,420100,2026-06-04 12:00:00,敏感目标保护区,4231.71,7.51,0.496,0.58,2.85,0.93,9.13,3,71.38,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001591,460100_G0261,海口,460100,2026-06-02 09:00:00,管制空域,2479.1,27.56,0.85,0.368,5.43,0.39,5.11,1,54.17,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001592,440300_G0183,深圳,440300,2026-06-07 00:00:00,禁飞区,2005.31,12.57,0.641,0.837,8.02,0.59,7.07,1,90.96,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001593,441900_G0096,东莞,441900,2026-06-02 11:00:00,适飞空域,2968.24,19.16,0.897,0.685,2.2,0.08,8.65,1,21.31,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001594,610100_G0296,西安,610100,2026-06-05 10:00:00,管制空域,2856.6,9.03,0.638,0.711,5.95,0.69,5.11,2,72.72,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001595,440100_G0386,广州,440100,2026-06-01 14:00:00,低空物流走廊,879.06,1.92,0.858,0.64,2.29,1.13,11.68,3,30.82,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001596,430100_G0106,长沙,430100,2026-06-01 00:00:00,低空物流走廊,2855.62,11.9,0.879,0.691,2.73,0.33,7.75,2,21.69,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001597,370200_G0334,青岛,370200,2026-06-03 19:00:00,管制空域,1651.27,11.95,0.802,0.634,3.89,0.03,4.82,2,46.62,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001598,330100_G0416,杭州,330100,2026-06-01 08:00:00,适飞空域,1258.82,10.24,0.41,0.845,3.98,0.17,7.9,2,34.17,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001599,430100_G0191,长沙,430100,2026-06-03 16:00:00,低空物流走廊,3176.84,34.37,0.828,0.777,5.98,0.23,3.38,2,40.95,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001600,320100_G0162,南京,320100,2026-06-05 03:00:00,适飞空域,1553.75,10.91,0.812,0.905,6.17,0.14,9.64,1,13.59,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001601,440400_G0383,珠海,440400,2026-06-07 01:00:00,适飞空域,2511.96,24.95,0.957,0.939,2.2,0.02,10.81,1,40.8,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001602,420100_G0327,武汉,420100,2026-06-01 15:00:00,机场净空保护区,1862.22,29.25,0.531,0.953,5.18,0.85,12.28,3,75.82,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001603,320600_G0397,南通,320600,2026-06-04 19:00:00,机场净空保护区,435.34,1.77,0.457,0.685,5.73,0.24,10.13,3,64.5,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001604,441900_G0392,东莞,441900,2026-06-06 02:00:00,低空物流走廊,1692.34,21.41,0.808,0.747,5.91,1.19,7.43,0,23.45,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001605,320600_G0399,南通,320600,2026-06-01 11:00:00,适飞空域,854.26,5.38,0.779,0.707,3.14,0.35,8.2,2,22.07,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0001606,370200_G0238,青岛,370200,2026-06-05 02:00:00,禁飞区,2150.85,7.75,0.676,0.877,4.58,0.11,4.97,3,97.0,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
