alert_id,flight_plan_id,aircraft_id,city,city_code,route_id,timestamp,alert_type,severity,lat,lon,altitude_m,detection_source,confidence,disposal_status,response_time_min,closed_loop,data_nature,source_basis
AL0000963,FP000814,UAV00393,厦门,350200,RT_350200_039,2026-04-24 14:50:14,气象风险,中,24.4817501,118.1337847,0.0,射频,0.586,已闭环,15.3,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000964,FP001350,UAV01935,青岛,370200,RT_370200_023,2026-06-07 18:34:10,疑似黑飞目标,严重,36.0106745,120.3419363,41.29,融合识别,0.906,已闭环,13.6,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000965,FP002353,UAV01439,杭州,330100,RT_330100_003,2026-01-08 10:47:43,气象风险,中,30.3653699,120.0176713,18.57,光电,0.745,已闭环,4.8,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000966,FP006699,UAV02332,珠海,440400,RT_440400_021,2026-05-31 19:18:37,通信链路弱,中,22.3033262,113.4207399,91.11,无人机云系统,0.746,已闭环,3.0,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000967,FP004125,UAV01245,海口,460100,RT_460100_046,2026-06-19 00:39:26,人群密集区飞越,高,20.2014647,110.2094551,60.75,无人机云系统,0.928,处理中,1.7,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000968,FP001863,UAV01324,南通,320600,RT_320600_023,2026-05-03 01:42:47,通信链路弱,中,31.9430747,120.9804869,90.74,无人机云系统,0.706,已闭环,4.5,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000969,FP000346,UAV01673,北京,110000,RT_110000_015,2026-03-23 14:26:51,通信链路弱,中,39.7592253,116.4701066,63.2,融合识别,0.787,已闭环,1.7,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000970,FP007394,UAV00182,海口,460100,RT_460100_056,2026-02-23 07:16:00,超高风险,严重,19.9534243,110.4226685,3.59,光电,0.874,已闭环,4.2,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000971,FP006304,UAV00364,杭州,330100,RT_330100_052,2026-02-03 07:39:28,通信链路弱,中,30.3045796,120.149492,109.88,5G-A通感,0.543,处理中,1.7,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000972,FP006129,UAV02728,杭州,330100,RT_330100_053,2026-06-14 13:08:55,通信链路弱,中,30.2997971,120.0405972,71.87,雷达,0.526,已闭环,6.7,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000973,FP001860,UAV01189,苏州,320500,RT_320500_019,2026-03-23 16:08:57,超高风险,严重,31.2380641,120.6866202,82.28,5G-A通感,0.847,已闭环,12.3,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000974,FP000401,UAV00331,合肥,340100,RT_340100_043,2026-02-12 11:07:43,远程识别异常,高,31.7795383,117.2634131,87.2,无人机云系统,0.959,待核查,3.7,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000975,FP002281,UAV02640,深圳,440300,RT_440300_041,2026-01-12 14:38:37,疑似黑飞目标,严重,22.649453,114.2019335,74.59,5G-A通感,0.889,已闭环,2.3,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000976,FP003483,UAV00699,西安,610100,RT_610100_028,2026-03-04 04:19:37,速度异常,中,34.2118534,108.9149404,18.93,光电,0.924,处理中,6.2,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000977,FP000014,UAV00063,武汉,420100,RT_420100_023,2026-04-25 14:55:53,远程识别异常,高,30.6139779,114.2673132,79.36,射频,0.546,已闭环,15.5,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000978,FP004562,UAV02451,上海,310000,RT_310000_003,2026-02-20 23:49:26,疑似黑飞目标,严重,31.328473,121.6514927,26.22,无人机云系统,0.912,已闭环,2.0,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000979,FP002534,UAV02302,上海,310000,RT_310000_008,2026-02-24 20:50:26,速度异常,中,31.2605694,121.6337571,82.9,5G-A通感,0.891,已闭环,3.7,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000980,FP007140,UAV00560,合肥,340100,RT_340100_028,2026-03-25 18:03:39,禁飞区接近,严重,31.8514667,117.4091744,31.37,射频,0.627,待核查,3.1,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000981,FP003636,UAV00325,西安,610100,RT_610100_022,2026-02-26 13:12:55,低电量告警,中,34.2990082,108.9948832,6.11,无人机云系统,0.548,误报,33.9,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000982,FP002566,UAV00307,西安,610100,RT_610100_042,2026-03-20 16:49:04,疑似黑飞目标,严重,34.3496103,109.0389651,58.86,5G-A通感,0.777,待核查,29.5,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000983,FP000289,UAV00823,北京,110000,RT_110000_054,2026-02-25 02:16:06,电子围栏越界,高,39.9736086,116.4113973,46.74,无人机云系统,0.857,已闭环,0.8,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000984,FP004148,UAV01282,南京,320100,RT_320100_015,2026-05-10 06:13:55,气象风险,中,32.1894185,118.809388,70.36,无人机云系统,0.691,处理中,7.1,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000985,FP006391,UAV02653,深圳,440300,RT_440300_006,2026-05-04 08:48:00,气象风险,中,22.3782723,114.202709,0.0,无人机云系统,0.542,处理中,9.4,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000986,FP006180,UAV00412,厦门,350200,RT_350200_001,2026-04-23 13:28:47,速度异常,中,24.4685724,117.8428982,62.0,无人机云系统,0.884,已闭环,16.0,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000987,FP007145,UAV01674,南通,320600,RT_320600_039,2026-03-16 21:53:55,人群密集区飞越,高,31.9767452,120.8407795,62.67,光电,0.717,处理中,0.5,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000988,FP003477,UAV00633,郑州,410100,RT_410100_032,2026-06-26 22:45:18,低电量告警,中,34.7691824,113.6951693,67.28,融合识别,0.806,已闭环,25.6,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000989,FP005466,UAV02247,海口,460100,RT_460100_026,2026-04-10 05:48:35,远程识别异常,高,20.0434173,110.0754964,120.84,无人机云系统,0.823,已闭环,20.5,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000990,FP001923,UAV00883,东莞,441900,RT_441900_056,2026-05-20 08:36:41,人群密集区飞越,高,23.0067985,113.6251556,165.25,5G-A通感,0.773,待核查,13.3,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000991,FP007287,UAV01939,青岛,370200,RT_370200_005,2026-01-10 03:51:18,人群密集区飞越,高,36.1943187,120.4767252,94.22,无人机云系统,0.431,处理中,15.5,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000992,FP005045,UAV01863,西安,610100,RT_610100_041,2026-04-06 20:11:14,人群密集区飞越,高,34.3095338,108.759194,87.58,光电,0.84,处理中,2.5,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000993,FP007089,UAV00319,海口,460100,RT_460100_007,2026-05-17 14:08:45,远程识别异常,高,19.9666653,110.0433512,88.79,无人机云系统,0.805,已闭环,6.5,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000994,FP000049,UAV00896,海口,460100,RT_460100_058,2026-02-02 22:50:35,低电量告警,中,20.1814388,110.2540571,81.86,融合识别,0.702,已闭环,3.1,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000995,FP001668,UAV00070,苏州,320500,RT_320500_034,2026-05-18 19:09:37,通信链路弱,中,31.1190851,120.3481579,33.84,无人机云系统,0.485,误报,13.2,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000996,FP001559,UAV00820,杭州,330100,RT_330100_053,2026-04-26 06:37:41,远程识别异常,高,30.2949211,120.0515562,65.48,雷达,0.87,已闭环,1.7,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000997,FP004425,UAV02367,合肥,340100,RT_340100_002,2026-04-03 17:41:47,禁飞区接近,严重,31.8281349,117.3253347,82.1,无人机云系统,0.786,已闭环,7.0,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000998,FP002222,UAV00055,杭州,330100,RT_330100_043,2026-01-12 18:35:16,人群密集区飞越,高,30.4044277,120.208904,23.52,光电,0.47,已闭环,4.7,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000999,FP001724,UAV00670,长沙,430100,RT_430100_037,2026-02-18 09:46:10,通信链路弱,中,28.2781988,113.1033426,19.22,无人机云系统,0.786,已闭环,8.2,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001000,FP002925,UAV00154,青岛,370200,RT_370200_032,2026-04-25 05:10:04,电子围栏越界,高,36.0124549,120.2003246,90.55,融合识别,0.61,已闭环,18.9,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001001,FP007061,UAV00411,重庆,500000,RT_500000_058,2026-06-23 17:33:49,气象风险,中,29.6924816,106.5305673,121.49,无人机云系统,0.728,已闭环,15.7,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001002,FP002604,UAV02316,成都,510100,RT_510100_004,2026-03-22 16:42:28,疑似黑飞目标,严重,30.6557068,104.1132176,59.87,无人机云系统,0.879,已闭环,6.8,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001003,FP000885,UAV00168,武汉,420100,RT_420100_029,2026-01-25 21:46:41,速度异常,中,30.4961364,114.421643,126.3,无人机云系统,0.867,待核查,1.7,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001004,FP006852,UAV02329,南京,320100,RT_320100_033,2026-01-03 17:50:20,气象风险,中,31.9553869,118.5914058,32.85,射频,0.689,处理中,0.5,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001005,FP006065,UAV01987,北京,110000,RT_110000_019,2026-03-27 05:50:10,禁飞区接近,严重,39.9274563,116.4237627,27.1,光电,0.689,待核查,6.0,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001006,FP007470,UAV02540,郑州,410100,RT_410100_006,2026-04-30 05:07:24,气象风险,中,34.6506336,113.8594631,113.43,融合识别,0.918,已闭环,1.2,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001007,FP001950,UAV01815,郑州,410100,RT_410100_023,2026-01-05 12:53:28,禁飞区接近,严重,34.6495684,113.6652645,58.34,射频,0.888,已闭环,7.2,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001008,FP001956,UAV01038,重庆,500000,RT_500000_017,2026-01-07 00:49:37,速度异常,中,29.5544058,106.6496512,101.99,光电,0.838,已闭环,3.8,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001009,FP007205,UAV02648,长沙,430100,RT_430100_009,2026-02-09 00:25:04,禁飞区接近,严重,28.4056173,112.9855657,38.81,无人机云系统,0.758,已闭环,17.4,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001010,FP003382,UAV02207,长沙,430100,RT_430100_060,2026-02-12 22:18:14,超高风险,严重,28.2976126,112.9264038,25.89,融合识别,0.879,待核查,3.3,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001011,FP002056,UAV02087,合肥,340100,RT_340100_031,2026-02-09 02:22:00,超高风险,严重,31.6411963,117.0562777,87.79,雷达,0.553,处理中,3.5,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001012,FP005168,UAV01545,青岛,370200,RT_370200_039,2026-01-27 13:01:35,疑似黑飞目标,严重,36.0271454,120.4083746,90.74,融合识别,0.95,已闭环,22.0,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001013,FP000926,UAV02709,珠海,440400,RT_440400_044,2026-06-02 12:53:00,通信链路弱,中,22.2671594,113.527239,4.95,射频,0.552,已闭环,8.1,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001014,FP002941,UAV00481,合肥,340100,RT_340100_059,2026-05-20 17:48:55,超高风险,严重,31.8696499,117.3425895,78.49,5G-A通感,0.881,已闭环,4.8,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001015,FP005206,UAV01945,厦门,350200,RT_350200_009,2026-05-05 19:18:41,禁飞区接近,严重,24.6128019,118.1777681,70.66,雷达,0.816,已闭环,2.8,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001016,FP000910,UAV00762,上海,310000,RT_310000_025,2026-05-07 13:35:57,通信链路弱,中,31.2546073,121.5213164,43.98,融合识别,0.738,已闭环,1.0,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001017,FP000372,UAV00279,深圳,440300,RT_440300_009,2026-05-09 12:23:20,速度异常,中,22.4150154,113.9711312,78.03,无人机云系统,0.772,处理中,2.6,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001018,FP005049,UAV02520,成都,510100,RT_510100_003,2026-06-12 19:15:57,远程识别异常,高,30.5215781,104.057652,94.07,光电,0.834,已闭环,5.5,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001019,FP003025,UAV02480,西安,610100,RT_610100_045,2026-03-17 12:54:06,速度异常,中,34.2035088,109.0930996,51.81,光电,0.836,已闭环,8.8,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001020,FP001973,UAV00547,成都,510100,RT_510100_020,2026-01-27 18:34:57,速度异常,中,30.6767655,104.1968048,3.57,无人机云系统,0.827,已闭环,3.1,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001021,FP004921,UAV00381,北京,110000,RT_110000_054,2026-04-07 11:05:41,速度异常,中,40.0641646,116.1892073,58.71,雷达,0.367,已闭环,0.5,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001022,FP002566,UAV00307,西安,610100,RT_610100_042,2026-03-20 16:39:33,通信链路弱,中,34.3618667,109.0363605,98.1,光电,0.92,已闭环,11.8,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001023,FP004305,UAV02263,成都,510100,RT_510100_059,2026-03-27 08:37:28,气象风险,中,30.669961,104.1134659,39.52,光电,0.894,已闭环,1.0,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001024,FP001742,UAV02422,深圳,440300,RT_440300_029,2026-05-13 14:19:47,超高风险,严重,22.4348187,114.0490131,142.57,融合识别,0.566,处理中,7.2,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001025,FP007051,UAV01766,成都,510100,RT_510100_006,2026-03-29 08:35:35,通信链路弱,中,30.3980577,104.159923,102.16,5G-A通感,0.949,已闭环,4.9,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001026,FP004422,UAV00891,苏州,320500,RT_320500_021,2026-03-21 12:18:00,疑似黑飞目标,严重,31.2966687,120.3119166,0.0,雷达,0.781,已闭环,25.3,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001027,FP004869,UAV01848,南通,320600,RT_320600_055,2026-05-16 04:48:20,气象风险,中,31.8854272,120.9899836,54.09,无人机云系统,0.777,处理中,26.3,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001028,FP000680,UAV01397,东莞,441900,RT_441900_032,2026-03-16 21:59:08,电子围栏越界,高,22.9543768,113.957347,52.51,5G-A通感,0.782,已闭环,5.4,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001029,FP000874,UAV01547,长沙,430100,RT_430100_024,2026-05-09 21:45:00,禁飞区接近,严重,28.2805288,112.8450751,78.61,光电,0.874,处理中,2.8,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001030,FP000679,UAV02790,长沙,430100,RT_430100_013,2026-05-07 04:22:55,远程识别异常,高,28.1239851,113.1082773,40.13,光电,0.769,已闭环,1.4,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001031,FP005127,UAV01461,南通,320600,RT_320600_040,2026-06-01 03:23:37,通信链路弱,中,32.0159882,120.8197926,107.4,融合识别,0.874,处理中,3.7,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001032,FP007214,UAV02498,深圳,440300,RT_440300_052,2026-03-04 04:11:14,人群密集区飞越,高,22.4178136,114.2984669,11.01,无人机云系统,0.694,已闭环,0.5,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001033,FP000341,UAV01374,杭州,330100,RT_330100_030,2026-03-14 00:52:41,超高风险,严重,30.335471,120.0018496,127.32,无人机云系统,0.905,处理中,15.8,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001034,FP007047,UAV00075,青岛,370200,RT_370200_021,2026-05-18 17:46:22,远程识别异常,高,36.2566052,120.2456044,46.04,射频,0.838,已闭环,7.6,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001035,FP003856,UAV01688,珠海,440400,RT_440400_026,2026-05-13 21:24:37,低电量告警,中,22.3290203,113.6540247,16.89,射频,0.806,已闭环,9.6,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001036,FP004124,UAV00246,郑州,410100,RT_410100_051,2026-06-17 04:26:31,电子围栏越界,高,34.6989435,113.7955622,85.17,射频,0.742,处理中,2.8,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001037,FP003981,UAV01750,海口,460100,RT_460100_024,2026-02-03 05:47:16,疑似黑飞目标,严重,20.0172615,110.1918577,6.91,雷达,0.941,已闭环,18.4,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001038,FP004487,UAV00711,海口,460100,RT_460100_019,2026-01-06 06:00:18,疑似黑飞目标,严重,20.1196761,110.2900724,91.61,雷达,0.832,已闭环,25.3,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001039,FP007093,UAV01628,深圳,440300,RT_440300_024,2026-02-07 18:27:45,速度异常,中,22.6866114,114.2452248,39.98,融合识别,0.896,处理中,27.3,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001040,FP002298,UAV00349,武汉,420100,RT_420100_015,2026-03-31 18:23:35,禁飞区接近,严重,30.6194681,114.3514385,102.75,无人机云系统,0.727,已闭环,1.8,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001041,FP004337,UAV02113,长沙,430100,RT_430100_032,2026-03-12 07:51:39,远程识别异常,高,28.2662775,112.839899,23.18,射频,0.186,误报,2.2,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001042,FP002632,UAV01638,上海,310000,RT_310000_050,2026-04-07 09:43:26,远程识别异常,高,31.1301417,121.3827312,32.48,射频,0.709,已闭环,5.9,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001043,FP000699,UAV00303,合肥,340100,RT_340100_042,2026-04-10 09:15:00,气象风险,中,31.8720986,117.3647543,0.0,融合识别,0.894,已闭环,4.6,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001044,FP006844,UAV02203,上海,310000,RT_310000_015,2026-01-30 22:20:24,气象风险,中,31.3382476,121.3184675,89.12,雷达,0.676,处理中,0.6,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001045,FP001465,UAV01880,珠海,440400,RT_440400_031,2026-02-03 12:34:14,超高风险,严重,22.1433748,113.5072263,142.7,射频,0.498,已闭环,15.1,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001046,FP003481,UAV02060,成都,510100,RT_510100_030,2026-06-10 10:47:08,速度异常,中,30.732586,104.0498404,11.25,雷达,0.803,已闭环,0.5,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001047,FP000950,UAV01671,成都,510100,RT_510100_049,2026-02-16 12:02:39,速度异常,中,30.4882496,104.159009,43.41,5G-A通感,0.582,已闭环,9.6,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001048,FP006997,UAV02711,长沙,430100,RT_430100_028,2026-01-25 14:36:28,速度异常,中,28.1711902,113.0033077,36.71,射频,0.769,已闭环,15.8,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001049,FP003231,UAV01017,重庆,500000,RT_500000_026,2026-01-01 07:37:00,超高风险,严重,29.5384796,106.4798807,150.32,无人机云系统,0.87,处理中,3.3,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001050,FP007332,UAV02320,合肥,340100,RT_340100_036,2026-06-20 12:19:28,人群密集区飞越,高,31.7974329,117.1884233,91.11,雷达,0.79,已闭环,13.5,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001051,FP003025,UAV02480,西安,610100,RT_610100_045,2026-03-17 13:17:04,禁飞区接近,严重,34.4455892,108.8328147,78.97,射频,0.466,处理中,9.2,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001052,FP007227,UAV01751,西安,610100,RT_610100_039,2026-06-24 08:36:04,速度异常,中,34.1769221,108.9079998,11.9,雷达,0.895,处理中,0.5,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001053,FP006704,UAV01011,广州,440100,RT_440100_028,2026-03-03 07:11:22,速度异常,中,23.0825243,113.3089036,33.18,雷达,0.813,已闭环,10.7,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001054,FP002359,UAV00584,武汉,420100,RT_420100_010,2026-02-19 08:15:08,低电量告警,中,30.4381135,114.3233261,45.1,无人机云系统,0.836,已闭环,3.6,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001055,FP004836,UAV02653,南京,320100,RT_320100_040,2026-03-07 21:56:55,人群密集区飞越,高,32.0044121,118.6977881,26.31,无人机云系统,0.567,处理中,2.4,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001056,FP004107,UAV02729,长沙,430100,RT_430100_043,2026-02-17 18:04:24,气象风险,中,28.175108,113.0583633,19.93,光电,0.947,已闭环,7.3,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001057,FP003187,UAV01869,重庆,500000,RT_500000_044,2026-03-05 08:16:51,超高风险,严重,29.7634356,106.5517656,51.12,光电,0.642,已闭环,4.8,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001058,FP001662,UAV00338,珠海,440400,RT_440400_019,2026-04-15 22:39:49,远程识别异常,高,22.2761401,113.5244327,32.1,无人机云系统,0.917,已闭环,7.0,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001059,FP001363,UAV02600,重庆,500000,RT_500000_034,2026-03-21 11:43:35,通信链路弱,中,29.5556598,106.5634539,61.12,5G-A通感,0.803,已闭环,3.2,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001060,FP001992,UAV02138,苏州,320500,RT_320500_008,2026-06-15 07:43:24,人群密集区飞越,高,31.2715602,120.6805859,72.46,无人机云系统,0.736,已闭环,0.8,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001061,FP002540,UAV00981,重庆,500000,RT_500000_033,2026-03-04 10:13:22,远程识别异常,高,29.6266539,106.4970896,94.02,射频,0.9,已闭环,25.8,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001062,FP005476,UAV00213,长沙,430100,RT_430100_051,2026-01-14 18:55:28,气象风险,中,28.2106037,113.0481261,45.54,雷达,0.674,已闭环,5.6,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001063,FP005715,UAV00787,北京,110000,RT_110000_046,2026-02-23 16:57:31,通信链路弱,中,39.9687326,116.3774564,59.38,无人机云系统,0.532,误报,22.6,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001064,FP004921,UAV00381,北京,110000,RT_110000_054,2026-04-07 10:43:45,疑似黑飞目标,严重,40.0119646,116.3176633,127.34,雷达,0.856,已闭环,3.3,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001065,FP002317,UAV00773,郑州,410100,RT_410100_053,2026-01-19 02:27:20,禁飞区接近,严重,34.5975258,113.4196953,82.43,融合识别,0.643,已闭环,2.8,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001066,FP005912,UAV01443,青岛,370200,RT_370200_053,2026-02-04 04:48:06,通信链路弱,中,36.0880964,120.2394583,50.0,射频,0.566,已闭环,11.8,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0001067,FP007726,UAV00723,西安,610100,RT_610100_005,2026-05-16 01:30:31,通信链路弱,中,34.1400216,109.0372731,59.05,雷达,0.606,已闭环,11.0,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
